nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
       101  2.526496351E-01  2.919704318E-01 -1.809519678E-01  6.549263141E-03 -2.555969599E-02 -1.084942076E-01  1.213838071E-01  1.746928363E+01 -1.809519678E-01  2.919704318E-01  2.526496351E-01 
       102  2.545199394E-01  2.897822261E-01 -1.809510589E-01 -4.125063172E-02 -1.162961481E+00  4.015118139E-01  1.238952287E+00  3.879833273E-01 -1.809510589E-01  2.897822261E-01  2.545199394E-01 
       103  2.542070746E-01  2.901537120E-01 -1.809510142E-01 -2.466111578E-01 -4.967466274E-01 -4.107692590E-02  5.647367103E-01  1.197224072E-01 -1.809510142E-01  2.901537120E-01  2.542070746E-01 
       104  2.549468577E-01  2.893214524E-01 -1.809394360E-01 -8.665053359E-02 -6.057525758E-01  8.027729173E-01  1.027054749E+00 -3.639906552E+00 -1.809394360E-01  2.893214524E-01  2.549468577E-01 
       105  2.531513274E-01  2.915826440E-01 -1.809394211E-01  1.325647237E-01 -2.788274512E-01  8.838111918E-02  3.407130642E-01  1.906066759E+01 -1.809394211E-01  2.915826440E-01  2.531513274E-01 
       106  2.553845346E-01  2.891658843E-01 -1.809375286E-01 -5.998911951E-02 -7.189132734E-03 -1.242552316E-01  1.436884246E-01 -1.141495039E+00 -1.809375286E-01  2.891658843E-01  2.553845346E-01 
       107  2.539579868E-01  2.901221514E-01 -1.809353232E-01 -1.072775185E-01 -3.425683592E-01 -7.041935964E-02  3.762241730E-01 -8.696175370E-01 -1.809353232E-01  2.901221514E-01  2.539579868E-01 
       108  2.552562356E-01  2.892243862E-01 -1.809350252E-01 -3.999449278E-02 -3.710878611E-02  1.489891164E-02  1.150076790E-01 -2.171562928E+00 -1.809350252E-01  2.892243862E-01  2.552562356E-01 
       109  2.524832189E-01  2.915320992E-01 -1.809308380E-01  6.437951951E-02 -2.163719925E-01 -4.758229718E-02  2.373279098E-01  1.723512730E+01 -1.809308380E-01  2.915320992E-01  2.524832189E-01 
       110  2.543934286E-01  2.872680128E-01 -1.809280217E-01 -7.006251295E-04 -4.628622409E-04 -7.700157535E-05  9.430389651E-04  3.655892383E-04 -1.809280217E-01  2.872680128E-01  2.543934286E-01 
       111  2.543351948E-01  2.887369990E-01 -1.809231490E-01 -7.234401580E-02 -4.915059113E-01  3.065018882E-01  5.940545646E-01 -1.398073370E+00 -1.809231490E-01  2.887369990E-01  2.543351948E-01 
       112  2.555206120E-01  2.891380191E-01 -1.809219122E-01 -2.001925986E-02  4.488759749E-02 -2.057714091E-01  2.162649273E-01 -3.965676359E-01 -1.809219122E-01  2.891380191E-01  2.555206120E-01 
       113  2.525303364E-01  2.913905680E-01 -1.809194237E-01  1.466304055E-01 -2.974254225E-01 -2.698766208E-02  3.386581083E-01  1.732809158E+01 -1.809194237E-01  2.913905680E-01  2.525303364E-01 
       114  2.528737783E-01  2.919676304E-01 -1.809191704E-01 -6.636339197E-02 -6.331371549E-02 -4.195883454E-02  1.087864393E-01  1.818474701E+01 -1.809191704E-01  2.919676304E-01  2.528737783E-01 
       115  2.544061244E-01  2.874927819E-01 -1.809170991E-01  5.344371142E-04  3.417519105E-03  1.697945942E-04  4.359114690E-03  2.729897640E-03 -1.809170991E-01  2.874927819E-01  2.544061244E-01 
