nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude       z-velocity       y-velocity       x-velocity         pressure     z-coordinate     y-coordinate     x-coordinate 
        91  2.544366673E-01  2.872246259E-01 -1.811621261E-01  5.814665878E-05 -3.574831645E-05 -3.299219890E-05 -2.615825742E-06 -1.578109472E-06 -1.811621261E-01  2.872246259E-01  2.544366673E-01 
        92  2.544348240E-01  2.873640656E-01 -1.811604649E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.218862074E-02 -1.811604649E-01  2.873640656E-01  2.544348240E-01 
        93  2.553858931E-01  2.887319490E-01 -1.811575402E-01  1.825912054E-01 -4.322590445E-02 -1.397578801E-01  6.457676553E-02 -2.988818462E-01 -1.811575402E-01  2.887319490E-01  2.553858931E-01 
        94  2.545480430E-01  2.880811393E-01 -1.811568886E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.733074848E+00 -1.811568886E-01  2.880811393E-01  2.545480430E-01 
        95  2.547007493E-01  2.876439624E-01 -1.811553459E-01  2.440112246E-02  3.890069536E-03  1.572826271E-02 -1.822098930E-02 -3.529380615E-01 -1.811553459E-01  2.876439624E-01  2.547007493E-01 
        96  2.544516451E-01  2.872484121E-01 -1.811548276E-01  9.985196975E-05 -4.727275453E-05  1.739200009E-05 -4.122025931E-05 -8.672129120E-06 -1.811548276E-01  2.872484121E-01  2.544516451E-01 
        97  2.544695088E-01  2.872767815E-01 -1.811467195E-01  3.906644151E-04  1.612670179E-05  2.749673107E-04 -2.480900699E-04 -1.330253501E-04 -1.811467195E-01  2.872767815E-01  2.544695088E-01 
        98  2.553293109E-01  2.889391184E-01 -1.811437756E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.253277838E+01 -1.811437756E-01  2.889391184E-01  2.553293109E-01 
        99  2.548701465E-01  2.890313566E-01 -1.811410785E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.020899252E+01 -1.811410785E-01  2.890313566E-01  2.548701465E-01 
       100  2.551291883E-01  2.889624536E-01 -1.811297685E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.806738637E+01 -1.811297685E-01  2.889624536E-01  2.551291883E-01 
       101  2.544563115E-01  2.892095447E-01 -1.811271459E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.105617533E+01 -1.811271459E-01  2.892095447E-01  2.544563115E-01 
       102  2.554972768E-01  2.889088094E-01 -1.811258197E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.909572284E+00 -1.811258197E-01  2.889088094E-01  2.554972768E-01 
       103  2.545385175E-01  2.873863646E-01 -1.811065020E-01  5.107508264E-03  6.249582253E-04  3.409666115E-03 -3.743149866E-03 -2.357923636E-02 -1.811065020E-01  2.873863646E-01  2.545385175E-01 
       104  2.540982664E-01  2.895060182E-01 -1.811010540E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.131051555E+01 -1.811010540E-01  2.895060182E-01  2.540982664E-01 
       105  2.553798753E-01  2.887223968E-01 -1.810971464E-01  5.266699728E-01 -1.155170539E-01 -3.994913052E-01  3.194672332E-01  0.000000000E+00 -1.810971464E-01  2.887223968E-01  2.553798753E-01 
       106  2.544872165E-01  2.888104618E-01 -1.810965985E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.744495134E+01 -1.810965985E-01  2.888104618E-01  2.544872165E-01 
       107  2.548760185E-01  2.879223189E-01 -1.810954340E-01  3.915922323E-02 -1.434566681E-03  1.550232100E-02 -3.147954715E-02 -8.143545318E-01 -1.810954340E-01  2.879223189E-01  2.548760185E-01 
       108  2.554927324E-01  2.889015975E-01 -1.810897747E-01  5.828103879E-02  5.702852491E-03  2.287148826E-02 -5.241320068E-02 -1.853819050E+00 -1.810897747E-01  2.889015975E-01  2.554927324E-01 
       109  2.544315457E-01  2.875081003E-01 -1.810851544E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -9.724022445E-02 -1.810851544E-01  2.875081003E-01  2.544315457E-01 
       110  2.546460629E-01  2.890267670E-01 -1.810784191E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.061460457E+01 -1.810784191E-01  2.890267670E-01  2.546460629E-01 
       111  2.544156909E-01  2.872734070E-01 -1.810772866E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.652882106E-02 -1.810772866E-01  2.872734070E-01  2.544156909E-01 
       112  2.544465363E-01  2.878297865E-01 -1.810692698E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.501894224E+00 -1.810692698E-01  2.878297865E-01  2.544465363E-01 
       113  2.528588772E-01  2.916477621E-01 -1.810654253E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.333068001E+02 -1.810654253E-01  2.916477621E-01  2.528588772E-01 
       114  2.544272840E-01  2.895813286E-01 -1.810617298E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.253722437E+01 -1.810617298E-01  2.895813286E-01  2.544272840E-01 
       115  2.546297014E-01  2.894097865E-01 -1.810604632E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.536187982E+01 -1.810604632E-01  2.894097865E-01  2.546297014E-01 
       116  2.545078993E-01  2.882944047E-01 -1.810592413E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.189951535E+01 -1.810592413E-01  2.882944047E-01  2.545078993E-01 
       117  2.548131645E-01  2.892543077E-01 -1.810593009E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.938185574E+01 -1.810593009E-01  2.892543077E-01  2.548131645E-01 
       118  2.546220487E-01  2.875189894E-01 -1.810579949E-01  1.857488428E-02  2.146007404E-03  1.201400394E-02 -1.396467746E-02 -2.007677612E-01 -1.810579949E-01  2.875189894E-01  2.546220487E-01 
       119  2.542588711E-01  2.896898091E-01 -1.810553968E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.356048959E+01 -1.810553968E-01  2.896898091E-01  2.542588711E-01 
       120  2.550642192E-01  2.891792953E-01 -1.810516566E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.334993862E+01 -1.810516566E-01  2.891792953E-01  2.550642192E-01 
       121  2.541165948E-01  2.893153131E-01 -1.810498387E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.444527497E+01 -1.810498387E-01  2.893153131E-01  2.541165948E-01 
       122  2.554861711E-01  2.888911836E-01 -1.810484096E-01  8.470731954E-02 -1.786400706E-02 -3.290580216E-02 -2.368496655E-02 -1.250411503E+00 -1.810484096E-01  2.888911836E-01  2.554861711E-01 
       123  2.540723085E-01  2.898099720E-01 -1.810483634E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.663153377E+01 -1.810483634E-01  2.898099720E-01  2.540723085E-01 
       124  2.542822957E-01  2.890154421E-01 -1.810467839E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.518706195E+01 -1.810467839E-01  2.890154421E-01  2.542822957E-01 
       125  2.527476847E-01  2.916644216E-01 -1.810454726E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.257790353E+02 -1.810454726E-01  2.916644216E-01  2.527476847E-01 
       126  2.552753389E-01  2.891162038E-01 -1.810452491E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.916208284E+01 -1.810452491E-01  2.891162038E-01  2.552753389E-01 
       127  2.542755306E-01  2.893691659E-01 -1.810352355E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.595906976E+01 -1.810352355E-01  2.893691659E-01  2.542755306E-01 
